	System-Id	WM1	WM2	distance	drug-offset-end	drug-offset-start	relType	sideEffect-offset-end	sideEffect-offset-start	Sentence
31	0015b527-9e5f-4e62-8000-08adb7c02fe4	cisplatin	it is working		399	390	positive	429	416	my dad has had rituxan-bendamustine, r-chop, a treatment for cns lymphoma, while brain radiation, and he's now in his 4th line treatment for secondary pulmonary lymphoma; he's taking cisplatin-gemcitibine and it is working.
32	0015b527-9e5f-4e62-8000-08adb7c02fe4	gemcitibine	it is working		411	400	positive	429	416	my dad has had rituxan-bendamustine, r-chop, a treatment for cns lymphoma, while brain radiation, and he's now in his 4th line treatment for secondary pulmonary lymphoma; he's taking cisplatin-gemcitibine and it is working.
33	0015bc00-4d3b-4c02-8ac5-7f226a57d804	carbo	did pretty well		450	445	positive	474	459	back in jan. he had bloody urine.fast forwad.he had a series of carbo/gem and did pretty well but due to age and fraility he couldn't continue and the doc recommended hospice (which is what i had wanted originally).
34	00175e14-3803-4720-8000-503ec24b2790	cisplatin	it seemed to help		526	517	positive	609	592	i found that if i increased my nausea medications and took them before i felt nausea, got iv hydration two days after each infusion of cisplatin and epirubicin, and took lomotil every day before i got diarrhea it seemed to help.
35	00175e14-3803-4720-8000-503ec24b2790	epirubicin	it seemed to help		541	531	positive	609	592	i found that if i increased my nausea medications and took them before i felt nausea, got iv hydration two days after each infusion of cisplatin and epirubicin, and took lomotil every day before i got diarrhea it seemed to help.
36	00194144-7425-4c77-8000-0bbf29966a69	fludarabine	works best		32	21	positive	43	33	medpage today: ash: fludarabine works best in rare lymphoma trial (waldenstrom's) http://bit.ly/rs5ad2
37	001fc667-ca6d-45d8-8000-08547c0fec40	herceptin	effective for me		75	66	positive	233	217	for those who are worried about getting herceptin only, that was effective for me.
40	00217d7e-40b9-4e4b-8000-0940ead11a11	g the 	way better		1454	1448	positive	1471	1461	i am managing the xeloda way better.
41	0021b08d-d3ea-4c3a-8000-095d37ddab84	taxol	hair started growing back		45	40	positive	36	11	hi all,my hair started growing back in taxol after dd ac.
42	0021e998-198f-4f42-8000-0d9ecd4c4eb9	methotrexate	no worries		856	844	positive	909	899	the infusion was free.weary i know at least two people who drink on methotrexate and have been on it fo 10 years plus with no worries.
43	0024ed78-31de-48eb-8000-0b40292991d1	tamoxifen	i am doing great		35	26	positive	22	6	also i am doing great on tamoxifen.
45	00260eca-61a5-4a35-8000-75387bbfdb99	avastin	have helped		602	595	positive	581	570	we have done this and have helped them to fund avastin treatments.
46	002648a8-4c8d-43c1-8000-0c1799570259	herceptin	hair growth		183	174	positive	233	222	i don't know if it is my impatience or actually really the case, but i did read information on herceptin from a few sources that said it slows hair growth.
46	002648a8-4c8d-43c1-8000-0c1799570259	herceptin	hair growth		183	174	positive	233	222	when my mom mentioned to her hairdresser that i was interested in researching extensions, she told my mom that i should see the hair growth accelerate after i finish the herceptin.
47	002648a8-4c8d-43c1-8000-0c1799570259	herceptin	less frequent		183	174	positive	625	612	i know that will become less frequent when herceptin is done.
48	00290b97-5519-4383-8000-0bebef019f79	rituxan	would help		392	385	positive	403	393	i was hoping the rituxan would help with the aches.
49	002b127e-87d0-44a8-8001-10a3d13484c1	herceptin	is a miracle drug		51	42	positive	96	79	herceptin is a miracle drug for 'we' her2 breast cancer warriors.
52	002ba842-56be-4bb8-8001-1818aa3b3a19	arimidex	i have no side effects		74	66	positive	1738	1716	i have no side effects on the arimidex and i'm not convinced it's what's causing my fuzzy sparse hair anyway.
54	002fed80-0eae-4f75-8000-12f3a2489f91	tamoxifen	no side effects		298	289	positive	325	310	currently i am on 20 mg. of tamoxifen daily with no side effects and have been on estrogen-blocker therapy since my mets were discovered in 1998. there are lots of treatments out there and new clinical trials being developed every day.
55	00307eea-d841-44d0-8001-599f657b82c4	xeloda	i had no side effects		83	77	positive	296	275	so if that is true i had no side effects from xeloda.
56	0030c263-3e23-45e1-8000-139d7495f099	taxol	much easier to tolerate		31	26	positive	106	83	i have done 2 dose-dense taxols after 4 dose-dense a/cs and found the taxol to be much easier to tolerate.
57	00317624-d373-4018-8001-67866193f491	herceptin	it has helped		10	1	positive	617	604	"it's a ""true story"" all about the drug herceptin and how it came to be and how it has helped thousands of women battling breast cancer."
58	00321b6c-e0c0-4557-8000-14b6e5dddbe9	tamox	i feel better		233	228	positive	259	246	my family doc said i could try a couple weeks off the tamox, and see if i feel better.
59	0036bed2-ec42-44e0-8001-b8716f078b90	carboplatin	has fewer side effects		12	1	positive	123	101	carboplatin has fewer side effects than cisplatin.
60	0036bed2-ec42-44e0-8001-b8716f078b90	cisplatin	has fewer side effects		26	17	positive	123	101	carboplatin has fewer side effects than cisplatin.
61	0036d5d3-efbe-4a48-8001-b9e3e288f399	taxol	it was not too bad		87	82	positive	116	98	i have had 6 rounds of taxol/carbo and it was not too bad.
62	0036d5d3-efbe-4a48-8001-b9e3e288f399	carbo	it was not too bad		93	88	positive	116	98	i have had 6 rounds of taxol/carbo and it was not too bad.
63	003c0f51-40ed-4fd1-8000-1dc2ba514679	herceptin	worked wonders		62	53	positive	77	63	looks like herceptin worked wonders for you.i had the purple port-a-cath.http://www.bardaccess.com/products/ports/powerportit was surgically inserted under the skin of my right upper arm.
64	00402c19-3988-4438-8002-5d2fb41572f9	doxil	i had no side effects		230	225	positive	358	337	i had doxil in sept 2003 and i had no side effects including no rash and after 6 treatments it gave me 18 months remission.
65	00436138-688f-4458-8002-9b322fa97f81	rituxan	doing very well		103	96	positive	86	71	sounds like you are doing very well with the rituxan infusions.
66	004508e0-06a2-49db-8000-2751cf286a71	taxotere	side effects are less		75	67	positive	301	280	i just want to know if the side effects are less then the taxotere.
69	0045581d-68d6-4880-8002-c2aab6b92900	taxol	i felt better		25	20	positive	112	99	honestly, when i started the weekly taxol i felt better!
70	004563c1-995d-4757-8000-27b999b3f7e9	taxotere	hair regrowth		126	118	positive	144	131	don't know about taxotere and hair regrowth.
72	00456d14-a10e-4d12-8000-13443ef15884	cisplatin	it worked well		130	121	positive	175	161	i have had chemo twice cisplatin and paclitaxel first time and it worked well then 18 months later a second round of carboplatin and caelyx this also worked well for 8 months.
73	00456d14-a10e-4d12-8000-13443ef15884	cisplatin	worked well		130	121	positive	175	164	i have had chemo twice cisplatin and paclitaxel first time and it worked well then 18 months later a second round of carboplatin and caelyx this also worked well for 8 months.
74	00456d14-a10e-4d12-8000-13443ef15884	carboplatin	it worked well		226	215	positive	175	161	i have had chemo twice cisplatin and paclitaxel first time and it worked well then 18 months later a second round of carboplatin and caelyx this also worked well for 8 months.
75	00456d14-a10e-4d12-8000-13443ef15884	carboplatin	worked well		226	215	positive	175	164	i have had chemo twice cisplatin and paclitaxel first time and it worked well then 18 months later a second round of carboplatin and caelyx this also worked well for 8 months.
76	00456d14-a10e-4d12-8000-13443ef15884	caelyx	it worked well		237	231	positive	175	161	i have had chemo twice cisplatin and paclitaxel first time and it worked well then 18 months later a second round of carboplatin and caelyx this also worked well for 8 months.
77	00456d14-a10e-4d12-8000-13443ef15884	caelyx	worked well		237	231	positive	175	164	i have had chemo twice cisplatin and paclitaxel first time and it worked well then 18 months later a second round of carboplatin and caelyx this also worked well for 8 months.
78	00460d64-c9c7-4f82-8000-287cc2856964	herceptin	it is much better		532	523	positive	507	490	it is much better right now, the herceptin has shrunk my cancer.
80	004643d5-0251-4808-8002-d58edcc30449	taxol	was easier		6	1	positive	17	7	taxol was easier than a/c but it still had it moments.
83	00497d40-b82b-4f07-8000-18b23cb73c29	keytruda	felt good		202	194	positive	335	326	i felt good on keytruda but then i could see tumors on my skin, so i ended up trying the the til once keytruda failed.
84	004a1be2-b280-4300-8147-843ff9f04000	methotrexate	that works		254	242	positive	383	373	the caller said her husband had been treated with methotrexate, a powerful immunosuppressive drug, and had been switched to enbrel, a much newer, equally powerful immunosuppressive that works in a different way.
85	004a5122-fbcb-459b-8000-2d912319d0f1	cytoxa	very good		33	27	positive	321	312	hi everyone, i will begin cytoxan and taxotere on the 15th, every 3 weeks for 4 doses,i am a rn andi actually gave chemo over 20 years ago for a couple of years, every thing is much more complicated now, and i don't remember all the patient teaching i gave, but the pre-chemo teaching i was given wednesday was very good.
86	004a5122-fbcb-459b-8000-2d912319d0f1	taxotere	very good		47	39	positive	321	312	hi everyone, i will begin cytoxan and taxotere on the 15th, every 3 weeks for 4 doses,i am a rn andi actually gave chemo over 20 years ago for a couple of years, every thing is much more complicated now, and i don't remember all the patient teaching i gave, but the pre-chemo teaching i was given wednesday was very good.
87	004ad268-7e35-4b28-8000-2e30331bbc40	taxotere	great response		332	324	positive	291	277	on my first treatment, i had a great response on pht, but when we dropped the taxotere after 6 cycles, i had progression when on perjeta and herceptin only.
88	004ad268-7e35-4b28-8000-2e30331bbc40	perjeta	great response		382	375	positive	291	277	on my first treatment, i had a great response on pht, but when we dropped the taxotere after 6 cycles, i had progression when on perjeta and herceptin only.
89	004ad268-7e35-4b28-8000-2e30331bbc40	herceptin	great response		396	387	positive	291	277	on my first treatment, i had a great response on pht, but when we dropped the taxotere after 6 cycles, i had progression when on perjeta and herceptin only.
92	00512921-bf1a-47a4-8000-fa99d9806b04	gemz	no side effects		147	143	positive	228	213	i wish bob all the best for gemz next wednesday, i found this part of the chemo treatment to have no side effects except constipation because of the zofran given along side for sickness.
93	0052a14b-81d7-4f00-8003-eb645061a400	cisplatin	huge improvement		137	128	positive	505	489	i had such a tough time with my 1st cisplatin that she switched me to 1/2 dose weekly and that was a huge improvement.
94	0053faeb-bde2-4db8-8000-c45d084782c9	taxol	i have not had any nausea		137	132	positive	323	298	i have had my d3 checked and was 34.9. i'm taking 5000 iu a day to get that number higher i have not had any nausea with this taxol my friend so maybe you won't either!!!
95	00555254-c998-4848-8000-3c0f9b402a40	tamoxifen	doing ok		124	115	positive	49	41	i hope you are doing ok and that you doctor can help find you meds you can take while on tamoxifen.
96	0055e8f0-5365-42fb-8000-3ce45faa4d31	femara	really helps		187	181	positive	149	137	really helps with the pain and fatigue from femara.
97	005631f6-f119-4f6e-8000-3d4c10c62ca4	aromasi	doing great		107	100	positive	80	69	i'm doing great now on exemestane (aromasin) now that i switched from anastrozole.
98	005631f6-f119-4f6e-8000-3d4c10c62ca4	anastrozole	doing great		146	135	positive	80	69	i'm doing great now on exemestane (aromasin) now that i switched from anastrozole.
99	005631f6-f119-4f6e-8000-3d4c10c62ca4	exemestane	doing great		98	88	positive	80	69	i'm doing great now on exemestane (aromasin) now that i switched from anastrozole.
100	00577655-318b-4c26-8000-3f1ccd0c7004	faslodex	working well		47	39	positive	64	52	the last one showed faslodex was working well.
101	0057d685-0c8b-4424-8000-3fa7ea63ca90	tamoxifen	have no side effects		58	49	positive	43	23	i'm pre meno and also have no side effects from tamoxifen which i've been on since march 07.
102	00611d97-a112-4030-8005-6a077df5ea44	caelyx	it is working		466	460	positive	582	569	i had a ct scan cos my breathing was bad and found out i had fluid around my left lung (this is how my cancer goes when it is bad) i suppose this told my onc that the caelyx wasn't working, that and the fact i was so ill. so he decided to try me back on carbo/taxol and hey-0 it is working.
103	00611d97-a112-4030-8005-6a077df5ea44	carbo	it is working		17	12	positive	582	569	i had a ct scan cos my breathing was bad and found out i had fluid around my left lung (this is how my cancer goes when it is bad) i suppose this told my onc that the caelyx wasn't working, that and the fact i was so ill. so he decided to try me back on carbo/taxol and hey-0 it is working.
104	00611d97-a112-4030-8005-6a077df5ea44	taxol	it is working		23	18	positive	582	569	i had a ct scan cos my breathing was bad and found out i had fluid around my left lung (this is how my cancer goes when it is bad) i suppose this told my onc that the caelyx wasn't working, that and the fact i was so ill. so he decided to try me back on carbo/taxol and hey-0 it is working.
105	0061aff5-50d9-4bd8-8005-7a65a5823621	erbitux	doing well		125	118	positive	140	130	currently i'm on erbitux and doing well with that for lung tumors.
107	0061ca72-5eab-4b95-8000-4ee616b366d1	herceptin	it helps		258	249	positive	174	166	it helps when all tx is finally done, and so many of us are still in the throes if herceptin, recon, and various re-entering life as we knew it issues.good to see you!
108	006252d3-2de9-455e-8000-4fc2c049a5e4	taxol	is easier		42	37	positive	83	74	i have a lot of friends who've done taxol and ac and all have said taxol is easier.
110	0062cdf8-028d-4318-8005-9aa8869f84d1	erbitux	had good results		18	11	positive	62	46	i've used erbitux and avastin separately and had good results with both drugs.
112	006404b1-a1b6-4870-8005-be1f821b23e4	arom	it helps me		938	934	positive	1028	1017	i also burn aromotherapy oils during the day, there are specific ones for relaxation, harmony, it helps me.
113	00647145-4468-4b30-8005-ca9e1cde62c4	xeloda	works well		161	155	positive	172	162	thinking about you and hope that the xeloda works well for you.
116	0065954b-21f1-4365-8000-55230bdd7af1	taxol	my hair is growing back		450	445	positive	407	384	on the plus side, my hair is growing back from when it fell out while i was on taxol/avastin.
117	0065954b-21f1-4365-8000-55230bdd7af1	avastin	my hair is growing back		458	451	positive	407	384	on the plus side, my hair is growing back from when it fell out while i was on taxol/avastin.
118	0065f66c-2de5-435d-8017-f1cbb165e7e9	rituxan	less effective		78	71	positive	195	181	my thoughts, especially in regards to rituxan, is that as the disease progresses it starts to exhibit less and less of the cd20 thus making rituxan less effective.
119	0067bad5-4806-4120-8000-544e57cb1c40	topotecan	feeling good		108	99	positive	69	57	hope you're feeling good and how are you doing on the topotecan?
120	0067d94c-0f52-4908-8006-30e25fce3e89	votrient	having great results		140	132	positive	210	190	many of us are having great results on cabo and there are few side effects compared to votrient.
122	0067f1bd-a8cf-4e50-8000-4a237c32e310	tarceva	its working		489	482	positive	528	517	also, just so you know, the tarceva rash is an indication that its working.
123	0068d4b1-1c24-4078-8006-4efff4353e29	vincristine	doing very well		549	538	positive	491	476	david was doing very well (after the radiation that is) on the chemo of vincristine, ccnu and prednisone.
126	0068ee55-a266-48b6-8000-5ad74a92a5c4	faslodex	working for me		78	70	positive	96	82	the faslodex is working for me since january.
127	006981c2-3dc5-4860-8000-32525e260484	carbo	tolerated it very well		48	43	positive	82	60	my mom was on carbo/gemzar and tolerated it very well.
128	006981c2-3dc5-4860-8000-32525e260484	gemzar	tolerated it very well		55	49	positive	82	60	my mom was on carbo/gemzar and tolerated it very well.
129	006a24d4-c373-4528-800e-9ae9a0e6b390	erbitux	is working		72	65	positive	458	448	my dad's tumor did not express the egfr gene but the erbitux is working anyway.
131	006a44eb-0bfc-4869-8000-5d2c3ccdc769	tamoxifen	it works well		453	444	positive	438	425	my onc told me it works well with tamoxifen and actually suppresses hot flushes which i didn't know but has presumably helped as i am menopausal!!
132	006a6570-f379-4040-8001-3b2e4d7a7e40	taxol	has been easier		125	120	positive	184	169	i must say taxol has been easier then the a/c.
133	006b99db-59b7-4ab0-8000-5f85d3ec5100	herceptin	it gave me peace of mind		436	427	positive	721	697	it gave me peace of mind to do herceptin.
134	006cf2db-cb95-4a80-8006-d05e63880100	xeloda	i am doing better		33	27	positive	473	456	all in all, i am doing better on xeloda than i did on any other chemo.
135	006d2935-43b2-4ae0-8006-d72c74982590	sutent	doing well		734	728	positive	749	739	my husband is on sutent and doing well.
137	006d5f44-e0e1-48f8-8006-ddf4a3aa1609	perjeta	i did fine		408	401	positive	502	492	with perjeta, they added benadryl and ativan and then i did fine.
138	00710f51-dae2-4293-8000-6975f5f8df01	ibrance	going well		142	135	positive	176	166	the ibrance (palbociclib) trial is going well.
139	00710f51-dae2-4293-8000-6975f5f8df01	palbociclib	going well		155	144	positive	176	166	the ibrance (palbociclib) trial is going well.
141	007bc5b2-d7b2-4f80-8008-cb570c408900	erbitux	is working		26	19	positive	183	173	i am starting to get the rash and it is driving me crazy but the good news is my oncologist tells me that that is the indicator that the erbitux is working .
143	007d1d57-fbe4-4063-8000-8126181559e1	taxol	was ok		32	27	positive	39	33	hi maddison glad your 1st taxol was ok. i am having mine weekly like you - 3 weeks on and then one week off.
146	007d1d57-fbe4-4063-8000-8126181559e1	taxol	worked well		32	27	positive	580	569	i'm just hoping it will have worked well enough with the taxol to have shrunk my tumour enough to make it operable - have had my scans this week and am waiting for the results next week.
147	007da078-32ae-4a70-8000-6c4b7d64e890	avastin	much better		791	784	positive	2218	2207	the avastin news however is much better.
148	007df9d6-7418-40d9-8000-82eede3e4149	xeloda	worked for me		121	115	positive	135	122	xeloda worked for me but kept putting me in the hospital.
149	007ef38b-bb96-43fe-8000-84f7f22a0b64	tamox	no ses		366	361	positive	450	444	so i have been doing high risk surveillance for almost 13 years, alternating mammos and mris every 6 months, with breast exams on the opposite 6 months, took tamox for the full 5 years, and have been taking evista ever since, with little to no ses from either medication, other than some hot flashes and weight gain (which i would've gotten anyway with menopause!).
150	0080dfad-93d7-4926-8000-8906aae62c04	tamox	no big deal		38	33	positive	528	517	my oncologist put that on the table, and i'm confused.a polyp as i understand is not a pre cursor to cancer.so seemed like such drastic step, for all that the tamox is suppose to do for me.ps the biopsy for me in the drs office was no big deal.
151	0082a3d0-b2ce-4dee-8000-8ccebba0b2a4	taxol	worked wonders for me		61	56	positive	48	27	debdylan,glutamine powder worked wonders for me during taxol.
152	00835d4e-a39c-4912-8002-31db8a0dd244	femara	so far so good		20	14	positive	51	37	i've been on femara now 1 month and so far so good joint pain but i can handle it so far, onc.dr.
153	0085dd81-5ca7-418f-8000-93d89c7af9b9	taxol	much better		430	425	positive	442	431	bibi glad to hear you are finding the weekly taxol much better and hope everyone else ok debs, lisajane, richelle and jhbee xxx
154	008797de-5746-455a-8000-d9be39cc5321	arom	side effects are minimal		202	198	positive	283	259	!&nbsp; i have 12 more rads, take a 2 week break, then go back to the onc to start on aromatase inhibiter.&nbsp; he didn't say which one, but said side effects are minimal and no hot flashes.&nbsp; finally, mine are getting less and less.&nbsp; he said i am now a graduate and i'm strong!
155	00889ef0-5b7a-4091-8000-99feddffb3f9	taxotere	went well		534	526	positive	573	564	darn taxotere, oh well.kathyl glad surgery went well and you are healing i hope this surgery takes.
156	00898d7b-5382-4768-8000-9c1a75c18040	carboplatin	that works		195	184	positive	206	196	i have been topped up during the last two chemos (3 and 4) with another drug carboplatin that works via the kidneys.
159	008bde95-d341-47e8-800b-3b04350c5691	taxol	was much easier for me		1217	1212	positive	1240	1218	the taxol was much easier for me to handle, though my friend continued to drive me.
160	009367af-65a3-48f2-8001-902c703be524	bendamustine	are very effective		220	208	positive	254	236	bendamustine and fluradbine are very effective.
162	00949f41-5e4d-4e18-800c-ae183e757b11	herceptin	no problems		37	28	positive	465	454	no problems with herceptin, continued those treatments for a year - had to get echocardiograms from time to time because the herceptin can cause congestive heart failure but don't worry you will get through it - have faith and good luck with your continued treatments.
163	00962acd-f826-4c20-8007-2104f5058400	kadcyla	doing ok		117	110	positive	129	121	at this point kadcyla is doing ok.
164	00963b7a-4938-427f-8000-ba358c8039d9	taxol	much better		204	199	positive	550	539	like you, i'm finding i'm tolerating the taxol much better that the ac.
165	0099048f-9331-4cbb-8000-c12da229b7b1	xeloda	i have had good results		101	95	positive	89	66	i have had good results with xeloda for my liver mets and am going to try theraspheres.
166	0099bf43-6c81-481d-8000-c3062a103ee1	taxol	i had no neuropathy at all		59	54	positive	205	179	i iced my fingers and toes during taxol treatments: very cooold, but i had no neuropathy at all.
167	0099bf43-6c81-481d-8000-c3062a103ee1	taxol	much easier to tolerate		59	54	positive	83	60	i found taxol much easier to tolerate.
168	009a142f-827e-450e-8000-c3ddd6fd2a24	taxol	it was fine		57	52	positive	150	139	swindham, i was only taking tylenol with the first taxol tx but when the pains got so bad after tx 2 i called my oncologist and they said it was fine to take advil or ibuprofen.
169	009c6a02-f899-44b7-8000-c9d9485fd129	taxol	went great		79	74	positive	93	83	:)taxol #1 went great today.but i'm still on the steroids.so far so good.
170	009c7407-a977-4500-800e-0d3113e80400	arimidex	i have no side effects		33	25	positive	204	182	i have no side effects from the arimidex at all.
172	009d1c3a-8817-49ca-8000-cba646b347c4	herceptin	it feels so good		46	37	positive	77	61	i finished herceptin in april, and it feels so good to go from having to go to the onc every 3 weeks to every 3 months.i echo your wishes - stay well!!
173	009d302b-7195-446b-8000-cbd9fc2986d1	aromasi	had no ses		63	56	positive	153	143	i took tamox (along with effexor) for 3 years and had no ses except for some mild hot flashes and occasional leg/foot cramps.so far, ses on aromasin aren't nearly as bad as femera - it was the worst for me.
175	009d302b-7195-446b-8000-cbd9fc2986d1	femera	had no ses		46	40	positive	153	143	i took tamox (along with effexor) for 3 years and had no ses except for some mild hot flashes and occasional leg/foot cramps.so far, ses on aromasin aren't nearly as bad as femera - it was the worst for me.
176	009d302b-7195-446b-8000-cbd9fc2986d1	tamox	had no ses		31	26	positive	153	143	i took tamox (along with effexor) for 3 years and had no ses except for some mild hot flashes and occasional leg/foot cramps.so far, ses on aromasin aren't nearly as bad as femera - it was the worst for me.
177	009e9746-67b8-49a0-8000-71c5423ad1b1	adriamicin	better with		637	627	positive	691	680	she is 76. we now have to decide between 3 treatments, and the doctors weve visited have different opinions each: 1. traditional chemotherapy with adriamicin + gemcitabin, which our doctors say works better with sarcomatoid cells.
181	009f930a-300f-4843-8000-d21670ddf321	trastuzumab	more effective		67	56	positive	573	559	"i might not have needed any treatment other than surgery (which is also true for most stage 1 breast cancer patients) -- although probably her2 positive stage 1 patients, like triple negative stage 1 patients, probably are at higher risk than the average stage 1 patient to some degree.what is not understood is that the belief that ""trastuzumab plus chemotherapy is more effective"" is not correct."
181	009f930a-300f-4843-8000-d21670ddf321	trastuzumab	more effective		67	56	positive	573	559	"the only thing the studies have shown is that ""trastuzumab plus chemotherapy is more effective than chemotherapy alone.a.a."
182	00a1c384-0090-4094-8000-d7e45a956710	letrozole	i do feel better		300	291	positive	204	188	but i do feel better with daily exercise and i started taking my statin at at a different time of day from letrozole.
183	00a5ecab-ac58-4e80-8000-bce9fae98400	temodar	very helpful		27	20	positive	49	37	call the makers of temodar they are very helpful with information and getting help with the cost of medicines.
185	00a60c48-6e18-4460-800f-d3ed63b1b510	arom	no side effects		375	371	positive	439	424	try not to worry about the aromatase inhibitors, i'm one of the lucky ones with no side effects.
186	00a6778c-60bf-4f50-8000-e4a0e9189100	faslodex	very doable		781	773	positive	731	720	as sandilee pointed out the newness of these drugs and the fact that more women are surviving at this point means i would not put too much weight on their current ability to accurately quantify the overall survival statistics.so far i have found the trial very doable with only minor se's related more to the faslodex injections than the study drug.
187	00a6a2c7-13cb-4d80-800f-f0ab2df66100	tamoxifen	never had a problem		1113	1104	positive	1002	983	i've never had a problem with my weight and even now i am carrying around a little extra, but i think that has to do with the tamoxifen and water retention.
189	00a7a88b-9786-4123-8000-e7e9af2eca61	herceptin	doing so well		116	107	positive	81	68	"alaskaangel,it is great to see someone her+ so far out from dx and doing so well and you didn't even have herceptin!it reminds be of what my bs said to me, ""perhaps surgery is all you need, that alone may totally eliminate the cancer from your body, we don't really know so that's why chemo is being recommened, just in case some cancer cells escaped."
190	00a91523-0e04-408a-8000-ebde9bbea6c4	taxotere	worked great for me		128	120	positive	162	143	i don't have any advice regarding any of those chemo combos, as i did taxotere/cytoxin which worked great for me.
191	00a91523-0e04-408a-8000-ebde9bbea6c4	cytoxin	worked great for me		136	129	positive	162	143	i don't have any advice regarding any of those chemo combos, as i did taxotere/cytoxin which worked great for me.
192	00ab2626-219b-4c0d-8000-f1ab9133ed41	cytoxa	fairly quick		336	330	positive	318	306	also, it is a fairly quick session as cytoxan is a drip, but methotrexate and flouracil are pushed.
193	00ab2626-219b-4c0d-8000-f1ab9133ed41	methotrexate	fairly quick		365	353	positive	318	306	also, it is a fairly quick session as cytoxan is a drip, but methotrexate and flouracil are pushed.
194	00ab2626-219b-4c0d-8000-f1ab9133ed41	flouracil	fairly quick		379	370	positive	318	306	also, it is a fairly quick session as cytoxan is a drip, but methotrexate and flouracil are pushed.
